date,vote_prop
2016-02-01,0.24324136158179988
2016-02-09,0.3597105291441264
2016-02-20,0.3250379107677422
2016-02-23,0.46116349261465317
2016-03-01,0.3405302740750467
2016-03-05,0.3430645264545824
2016-03-08,0.3971353733201385
2016-03-15,0.41303219310716305
2016-03-22,0.3573481982633059
2016-04-05,0.3601849167380598
2016-04-19,0.6040734786596347
2016-04-26,0.6019293468265424
2016-05-03,0.5463918575157798
2016-05-10,0.751716930433241
2016-05-17,0.6661429085175247
2016-05-24,0.7888856046087802
2016-06-07,0.7704183517670952
